Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/users/2,61,45,171.34130001068115,181.8176131184045,171.34130001068115,381.89250009600073,988.4262295081967,1.0222285533927338,0.754103031191361,170,180,180,180,180,200,330,380,380,380,380
GET,GET /api/users/2,181,0,15,18.39020663424709,13.383000041358173,354.3141999980435,777.0,3.03316996990303,0.0,15,17,18,18,19,20,40,46,350,350,350
GET,GET /api/users?page=2,173,0,16,19.68984161853532,13.491199933923781,462.5755000161007,1527.0,2.8991072088023437,0.0,16,17,18,18,20,23,42,74,460,460,460
POST,POST /api/users,69,45,180,179.78986956860763,171.48140002973378,365.09710003156215,1040.8115942028985,1.1562913144934202,0.754103031191361,180,180,180,180,180,200,210,370,370,370,370
PUT,PUT /api/users/2,55,33,171.18610010948032,179.61935818999666,171.18610010948032,429.17149991262704,1040.4,0.921681482567219,0.5530088895403314,170,170,180,180,180,200,210,430,430,430,430
,Aggregated,539,123,18,74.41634527219249,13.383000041358173,462.5755000161007,1102.300556586271,9.032478529158746,2.0612149519230534,18,170,170,170,180,180,200,330,460,460,460
